Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
"Alford, R.A.",Ecology: Bleak future for amphibians,2011,Nature,480,7378,,461,462,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84255197876&partnerID=40&md5=92fa40707a85ed40cd077ff124a978fc,Article,Scopus
"Alilain, W.J., Horn, K.P., Hu, H., Dick, T.E., Silver, J.",Functional regeneration of respiratory pathways after spinal cord injury,2011,Nature,475,7355,,196,200,,28,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960405675&partnerID=40&md5=60c9e9c831180ec806bd09ab524d6d10,Article,Scopus
"Allen, A.E., Dupont, C.L., Oborník, M., Horák, A., Nunes-Nesi, A., McCrow, J.P., Zheng, H., Johnson, D.A., Hu, H., Fernie, A.R., Bowler, C.",Evolution and metabolic significance of the urea cycle in photosynthetic diatoms,2011,Nature,473,7346,,203,207,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955910093&partnerID=40&md5=953407f6834e8819c9056b5801c78388,Article,Scopus
"Allison, K.R., Brynildsen, M.P., Collins, J.J.",Metabolite-enabled eradication of bacterial persisters by aminoglycosides,2011,Nature,473,7346,,216,220,,34,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955886933&partnerID=40&md5=da455feff9dbaf6517cced50c5e0eef9,Article,Scopus
"Alter, G., Heckerman, D., Schneidewind, A., Fadda, L., Kadie, C.M., Carlson, J.M., Oniangue-Ndza, C., Martin, M., Li, B., Khakoo, S.I., Carrington, M., Allen, T.M., Altfeld, M.",HIV-1 adaptation to NK-cell-mediated immune pressure,2011,Nature,476,7358,,96,101,,20,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961138654&partnerID=40&md5=2fa413d4e5487031099d6cfdcc90afa4,Article,Scopus
"Alter, H.",Baruch Blumberg (1925-2011).,2011,Nature,473,7346,,155,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052008891&partnerID=40&md5=d7b5f1d550bd8849040787e1bca80b10,Article,Scopus
"Amblard, A., Cooray, A., Serra, P., Altieri, B., Arumugam, V., Aussel, H., Blain, A., Bock, J., Boselli, A., Buat, V., Castro-Rodríguez, N., Cava, A., Chanial, P., Chapin, E., Clements, D.L., Conley, A., Conversi, L., Dowell, C.D., Dwek, E., Eales, S., Elbaz, D., Farrah, D., Franceschini, A., Gear, W., Glenn, J., Griffin, M., Halpern, M., Hatziminaoglou, E., Ibar, E., Isaak, K., Ivison, R.J., Khostovan, A.A., Lagache, G., Levenson, L., Lu, N., Madden, S., Maffei, B., Mainetti, G., Marchetti, L., Marsden, G., Mitchell-Wynne, K., Nguyen, H.T., O'Halloran, B., Oliver, S.J., Omont, A., Page, M.J., Panuzzo, P., Papageorgiou, A., Pearson, C.P., Pérez-Fournon, I., Pohlen, M., Rangwala, N., Roseboom, I.G., Rowan-Robinson, M., Portal, M.S., Schulz, B., Scott, D., Seymour, N., Shupe, D.L., Smith, A.J., Stevens, J.A., Symeonidis, M., Trichas, M., Tugwell, K., Vaccari, M., Valiante, E., Valtchanov, I., Vieira, J.D., Vigroux, L., Wang, L., Ward, R., Wright, G., Xu, C.K., Zemcov, M.",Submillimetre galaxies reside in dark matter haloes with masses greater than 3×10 11 solar masses,2011,Nature,470,7335,,510,512,,22,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952192385&partnerID=40&md5=5ba358d8f7ef2595f29bc4318c57a717,Article,Scopus
"Anderson, K., Lutz, C., Van Delft, F.W., Bateman, C.M., Guo, Y., Colman, S.M., Kempski, H., Moorman, A.V., Titley, I., Swansbury, J., Kearney, L., Enver, T., Greaves, M.",Genetic variegation of clonal architecture and propagating cells in leukaemia,2011,Nature,469,7330,,356,361,,103,http://www.scopus.com/inward/record.url?eid=2-s2.0-78751644099&partnerID=40&md5=4ffc1093f1ef7855503eb744bdd0e74f,Article,Scopus
"Angel, A., Song, J., Dean, C., Howard, M.",A Polycomb-based switch underlying quantitative epigenetic memory,2011,Nature,476,7358,,105,109,,22,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961172475&partnerID=40&md5=27ed3bb1f72dd1dd9e9a9893944ad1b7,Article,Scopus
"Anthony, R.M., Kobayashi, T., Wermeling, F., Ravetch, J.V.",Intravenous gammaglobulin suppresses inflammation through a novel T H 2 pathway,2011,Nature,475,7354,,110,114,,47,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960046406&partnerID=40&md5=ea76adb0fa793fd4991a5f8adad02332,Article,Scopus
"Antoci, V., Handler, G., Campante, T.L., Thygesen, A.O., Moya, A., Kallinger, T., Stello, D., Grigahcène, A., Kjeldsen, H., Bedding, T.R., Lüftinger, T., Christensen-Dalsgaard, J., Catanzaro, G., Frasca, A., De Cat, P., Uytterhoeven, K., Bruntt, H., Houdek, G., Kurtz, D.W., Lenz, P., Kaiser, A., Van Cleve, J., Allen, C., Clarke, B.D.",The excitation of solar-like oscillations in a δ Sct star by efficient envelope convection,2011,Nature,477,7366,,570,573,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-80053367979&partnerID=40&md5=7397b553b91fc5addd45b57d4d0af9c0,Article,Scopus
"Appel, A.",Drugs: More shots on target,2011,Nature,480,7377 SUPPL.,,S40,S42,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-83455203496&partnerID=40&md5=a727e78f2da8176c23cb5ff171e0488d,Article,Scopus
"Arellano, J.I., Rakic, P.",Neuroscience: Gone with the wean,2011,Nature,478,7369,,333,334,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054986518&partnerID=40&md5=8d750102223f28c316a318e0b3e595ff,Article,Scopus
"Armstrong, J.B., Schindler, D.E.",Excess digestive capacity in predators reflects a life of feast and famine,2011,Nature,476,7358,,84,88,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961165911&partnerID=40&md5=e5b5633a163b8dafcd9d6983ad49948a,Article,Scopus
"Arner, P., Bernard, S., Salehpour, M., Possnert, G., Liebl, J., Steier, P., Buchholz, B.A., Eriksson, M., Arner, E., Hauner, H., Skurk, T., Rydén, M., Frayn, K.N., Spalding, K.L.",Dynamics of human adipose lipid turnover in health and metabolic disease,2011,Nature,478,7367,,110,113,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-80053927990&partnerID=40&md5=ece77b83daa7c8e61fba93c493ca3885,Article,Scopus
"Arumugam, M., Raes, J., Pelletier, E., Le Paslier, D., Yamada, T., Mende, D.R., Fernandes, G.R., Tap, J., Bruls, T., Batto, J.-M., Bertalan, M., Borruel, N., Casellas, F., Fernandez, L., Gautier, L., Hansen, T., Hattori, M., Hayashi, T., Kleerebezem, M., Kurokawa, K., Leclerc, M., Levenez, F., Manichanh, C., Nielsen, H.B., Nielsen, T., Pons, N., Poulain, J., Qin, J., Sicheritz-Ponten, T., Tims, S., Torrents, D., Ugarte, E., Zoetendal, E.G., Wang, J., Guarner, F., Pedersen, O., De Vos, W.M., Brunak, S., Doré, J., Weissenbach, J., Ehrlich, S.D., Bork, P.",Enterotypes of the human gut microbiome,2011,Nature,473,7346,,174,180,,48,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955906805&partnerID=40&md5=dbb80e5382b68399eef1a1ad4e7eaa40,Article,Scopus
"Asaadi, N., Ribe, N.M., Sobouti, F.",Inferring nonlinear mantle rheology from the shape of the Hawaiian swell,2011,Nature,473,7348,,501,504,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957598872&partnerID=40&md5=1ac6efeb5274e7929e2f48fbdeff86be,Article,Scopus
"Attfield, J.P.",Condensed-matter physics: A fresh twist on shrinking materials,2011,Nature,480,7378,,465,466,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84255177070&partnerID=40&md5=f3a4444ad439074be496e4f288056d4c,Article,Scopus
"Attwood, B.K., Bourgognon, J.-M., Patel, S., Mucha, M., Schiavon, E., Skrzypiec, A.E., Young, K.W., Shiosaka, S., Korostynski, M., Piechota, M., Przewlocki, R., Pawlak, R.",Neuropsin cleaves EphB2 in the amygdala to control anxiety,2011,Nature,473,7347,,372,377,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956312795&partnerID=40&md5=93c3bcbbac1e691f2dca2ce189333284,Article,Scopus
"Auerbach, B.D., Osterweil, E.K., Bear, M.F.",Mutations causing syndromic autism define an axis of synaptic pathophysiology,2011,Nature,480,7375,,63,68,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-82555196668&partnerID=40&md5=8cf290b43555edc8195f2f5ecf75d853,Article,Scopus
"Autry, A.E., Adachi, M., Nosyreva, E., Na, E.S., Los, M.F., Cheng, P.-F., Kavalali, E.T., Monteggia, L.M.",NMDA receptor blockade at rest triggers rapid behavioural antidepressant responses,2011,Nature,475,7354,,91,96,,62,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960057257&partnerID=40&md5=c2c618c2380c5895a448a8ae0f3b61a8,Article,Scopus
"Avouac, J.-P.",Earthquakes: The lessons of Tohoku-Oki,2011,Nature,475,7356,,300,301,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960646304&partnerID=40&md5=8de27be620f40f703accd6ae3368a3f5,Article,Scopus
"Avrani, S., Wurtzel, O., Sharon, I., Sorek, R., Lindell, D.",Genomic island variability facilitates Prochlorococcusvirus coexistence,2011,Nature,474,7353,,604,608,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959842126&partnerID=40&md5=99a7fc3bfa36e8a43aa55a1b0befe26c,Article,Scopus
"Aziz, T., Stein, J., Yogeshwar, R.",Animal testing: TV or not TV?,2011,Nature,470,7335,,457,459,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952465630&partnerID=40&md5=75b1e52203e9eb3ecc88322ca5a4ccd8,Article,Scopus
"Baillie, J.K., Barnett, M.W., Upton, K.R., Gerhardt, D.J., Richmond, T.A., De Sapio, F., Brennan, P., Rizzu, P., Smith, S., Fell, M., Talbot, R.T., Gustincich, S., Freeman, T.C., Mattick, J.S., Hume, D.A., Heutink, P., Carninci, P., Jeddeloh, J.A., Faulkner, G.J.",Somatic retrotransposition alters the genetic landscape of the human brain,2011,Nature,479,7374,,534,537,,23,http://www.scopus.com/inward/record.url?eid=2-s2.0-81855178276&partnerID=40&md5=7fd17a85ae2dee41a78df6cb86075174,Article,Scopus
"Bajoghli, B., Guo, P., Aghaallaei, N., Hirano, M., Strohmeier, C., McCurley, N., Bockman, D.E., Schorpp, M., Cooper, M.D., Boehm, T.",A thymus candidate in lampreys,2011,Nature,470,7332,,90,95,,21,http://www.scopus.com/inward/record.url?eid=2-s2.0-79551675522&partnerID=40&md5=a920bf1d6d94c03d130c6b6fff0b94d1,Article,Scopus
"Baker, D.J., Wijshake, T., Tchkonia, T., Lebrasseur, N.K., Childs, B.G., Van De Sluis, B., Kirkland, J.L., Van Deursen, J.M.",Clearance of p16 Ink4a-positive senescent cells delays ageing-associated disorders,2011,Nature,479,7372,,232,236,,64,http://www.scopus.com/inward/record.url?eid=2-s2.0-80855138775&partnerID=40&md5=de5ebd512236a019f093f293870e2a66,Article,Scopus
"Baker, M.","Microscopy: Bright light, better labels",2011,Nature,478,7367,,137,142,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80053911537&partnerID=40&md5=7a0dca9cf4938c9d6cf7ce6ce5b8abda,Article,Scopus
"Baker, M.",Animal models: Inside the minds of mice and men,2011,Nature,475,7354,,123,128,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960063073&partnerID=40&md5=4b830f35eecb3e7446239ebcbb4696ed,Article,Scopus
"Baker, M.",Synthetic genomes: The next step for the synthetic genome,2011,Nature,473,7347,,403,408,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956304481&partnerID=40&md5=1e9972cd85a02093c6ca191f8874b946,Article,Scopus
"Baker, M.",Tissue models: A living system on a chip,2011,Nature,471,7340,,661,665,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953233128&partnerID=40&md5=611043808a1df1c7766a1ed6a01610ac,Article,Scopus
"Baker, M.",Genomics: Genomes in three dimensions,2011,Nature,470,7333,,289,294,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951480691&partnerID=40&md5=87c8c192cfb7095d3aa36d9d68d7f00c,Article,Scopus
"Bakr, W.S., Preiss, P.M., Tai, M.E., Ma, R., Simon, J., Greiner, M.",Orbital excitation blockade and algorithmic cooling in quantum gases,2011,Nature,480,7378,,500,503,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-84255161580&partnerID=40&md5=d183321767f25ce032838477d6bacd10,Article,Scopus
"Ball, P.",Physics of life: The dawn of quantum biology,2011,Nature,474,7351,,272,274,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959228570&partnerID=40&md5=fb6d5584452052b56de489c77c3b2024,Article,Scopus
"Baratoux, D., Toplis, M.J., Monnereau, M., Gasnault, O.",Thermal history of Mars inferred from orbital geochemistry of volcanic provinces,2011,Nature,472,7343,,338,341,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955465684&partnerID=40&md5=265594a515cbfd3a43f326ec78d9d38c,Article,Scopus
"Barley, S.",Animal Research: The radical,2011,Nature,470,7335,,454,456,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952130520&partnerID=40&md5=ad4ee850aad2efa233bfbc3a8b566a38,Article,Scopus
"Barreiro, J.T., Müller, M., Schindler, P., Nigg, D., Monz, T., Chwalla, M., Hennrich, M., Roos, C.F., Zoller, P., Blatt, R.",An open-system quantum simulator with trapped ions,2011,Nature,470,7335,,486,491,,65,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952141393&partnerID=40&md5=e3dc7b3be558ecb37e7948f5f41e7100,Article,Scopus
"Bartels, T., Choi, J.G., Selkoe, D.J.",α-Synuclein occurs physiologically as a helically folded tetramer that resists aggregation,2011,Nature,477,7362,,107,111,,67,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052398365&partnerID=40&md5=9940accbdfc1d9040387608972bfcf8e,Article,Scopus
"Bass, J.",Physiology: On time metabolism,2011,Nature,480,7378,,466,467,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84255187140&partnerID=40&md5=1950ce7b9861c9b01800719d89fae47b,Article,Scopus
"Batista, L.F.Z., Pech, M.F., Zhong, F.L., Nguyen, H.N., Xie, K.T., Zaug, A.J., Crary, S.M., Choi, J., Sebastiano, V., Cherry, A., Giri, N., Wernig, M., Alter, B.P., Cech, T.R., Savage, S.A., Reijo Pera, R.A., Artandi, S.E.",Telomere shortening and loss of self-renewal in dyskeratosis congenita induced pluripotent stem cells,2011,Nature,474,7351,,399,404,,21,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959282291&partnerID=40&md5=0fa0447c4c41179d7f9f6d3f9614abbc,Article,Scopus
"Baughman, J.M., Perocchi, F., Girgis, H.S., Plovanich, M., Belcher-Timme, C.A., Sancak, Y., Bao, X.R., Strittmatter, L., Goldberger, O., Bogorad, R.L., Koteliansky, V., Mootha, V.K.",Integrative genomics identifies MCU as an essential component of the mitochondrial calcium uniporter,2011,Nature,476,7360,,341,345,,84,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051946060&partnerID=40&md5=a505f832171ba1320190a6994faac286,Article,Scopus
"Bean, J.",Extrasolar planets: Homing in on another Earth,2011,Nature,478,7367,,41,42,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80053916750&partnerID=40&md5=4b00e8577d73c7c629923a1f3f57b6fd,Article,Scopus
"Beardmore, R.E., Gudelj, I., Lipson, D.A., Hurst, L.D.",Metabolic trade-offs and the maintenance of the fittest and the flattest,2011,Nature,472,7343,,342,346,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955476606&partnerID=40&md5=43a7db570386f3f3d0a3e7226d8aa2e3,Article,Scopus
"Beaufort, L., Probert, I., De Garidel-Thoron, T., Bendif, E.M., Ruiz-Pino, D., Metzl, N., Goyet, C., Buchet, N., Coupel, P., Grelaud, M., Rost, B., Rickaby, R.E.M., De Vargas, C.",Sensitivity of coccolithophores to carbonate chemistry and ocean acidification,2011,Nature,476,7358,,80,83,,20,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961157714&partnerID=40&md5=649d861ce3dfc33cb648536512a633c0,Article,Scopus
"Beck, B., Driessens, G., Goossens, S., Youssef, K.K., Kuchnio, A., Caauwe, A., Sotiropoulou, P.A., Loges, S., Lapouge, G., Candi, A., Mascre, G., Drogat, B., Dekoninck, S., Haigh, J.J., Carmeliet, P., Blanpain, C.",A vascular niche and a VEGF-Nrp1 loop regulate the initiation and stemness of skin tumours,2011,Nature,478,7369,,399,403,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-80055003796&partnerID=40&md5=390257e039bf054d12fa39c19fb3248c,Article,Scopus
"Becken, M., Ritter, O., Bedrosian, P.A., Weckmann, U.","Correlation between deep fluids, tremor and creep along the central San Andreas fault",2011,Nature,480,7375,,87,90,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-82555195565&partnerID=40&md5=dceab74e9f3b66dd1c01bf2159db5289,Article,Scopus
"Becker, C., Hagmann, J., Müller, J., Koenig, D., Stegle, O., Borgwardt, K., Weigel, D.",Spontaneous epigenetic variation in the Arabidopsis thaliana methylome,2011,Nature,480,7376,,245,249,,20,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054718602&partnerID=40&md5=01fb5cc1b473c1267f079dd121ac9038,Article,Scopus
